Date,FibonacciLevels,PBDT,RSI,macd,Volume,EPS (Rs),CI
2018-01-11,336.8007822811157,111.21,53.0626711599969,127.84254253407016,557387,1.77,63.332760399657424
2018-01-12,337.41576478407126,111.21,58.64900053480781,120.37055098050224,843519,1.77,64.90588446236069
2018-01-15,339.6390129115755,111.21,52.92554981966932,105.47908408262992,1334475,1.77,63.62232154541906
2018-01-16,336.0440050906254,111.21,50.98849042912778,89.83895040529205,919047,1.77,61.10093809780441
2018-01-17,333.01649811422794,111.21,50.54251397336773,75.94114173253183,1599096,1.77,56.9023226310368
2018-01-18,348.7212700197581,111.21,53.48858007762641,68.35856004965717,1240349,1.77,56.13231983874585
2018-01-19,347.5386483905137,111.21,50.8260412101162,58.2323368039597,565302,1.77,60.620274864561146
2018-01-22,348.5793924873276,111.21,49.996444034872376,48.58066046198837,939881,1.77,70.9419738217868
2018-01-23,347.4440498352051,111.21,54.77707402352282,46.80635923794216,1287281,1.77,77.71757064816342
2018-01-24,346.0722529013969,111.21,56.98607379708222,48.04574761453841,1374753,1.77,76.36959205594665
2018-01-25,344.84236728412105,111.21,47.5496245955941,36.5368566796551,991272,1.77,75.90261145446743
2018-01-29,341.53114854517605,111.21,62.56301659883849,53.93726774785682,1118359,1.77,54.92462391082081
2018-01-30,342.47728231865506,111.21,59.4859648684314,62.45256085046094,774775,1.77,55.03418457336472
2018-01-31,341.34190799148206,111.21,56.36443620182445,63.704265935401054,4361853,1.77,55.3393990214811
2018-02-01,339.4970765887431,111.21,51.308237124492216,55.74891370140358,2438075,1.77,55.977920566691495
2018-02-02,334.7667362773444,111.21,37.4958546476114,17.574749651104867,1350425,1.77,37.70057976925718
2018-02-05,330.178309139011,111.21,41.224868586638415,-5.6829370118193765,1270434,1.77,28.40556462039125
2018-02-06,323.22469348919714,111.21,38.580790117932175,-31.14795674972993,1948962,1.77,29.20524266207841
2018-02-07,328.286157556927,111.21,36.91294884784736,-55.524702674734726,835895,1.77,31.05861302064963
2018-02-08,324.0288132401275,111.21,41.62559364619487,-65.70070224717892,1463375,1.77,32.68990271089851
2018-02-09,324.9276154137653,111.21,38.90666144335198,-80.12592539086472,744243,1.77,34.349443496163275
2018-02-12,327.8130923818211,111.21,46.18026529800638,-76.6790744484133,919718,1.77,36.17489777381004
2018-02-14,328.85381279184446,111.21,42.68010895351631,-81.95419599195338,825559,1.77,38.00040225511636
2018-02-15,326.06291879268514,111.21,43.421069259583824,-83.73332548769577,366437,1.77,39.60731292046055
2018-02-16,326.15755090358743,111.21,38.19551796915529,-98.12665249090968,871481,1.77,41.09575870721607
2018-02-19,325.4479546028664,111.21,35.39045673449695,-116.81873236176398,515046,1.77,43.4112630123234
2018-02-20,326.3940773148975,111.21,35.335630655575656,-130.29966898224302,890534,1.77,47.36189515956411
2018-02-21,324.59647005975177,111.21,38.15529256630524,-134.80170643153906,1312888,1.77,49.07454330078774
2018-02-22,317.6901382150753,111.21,34.183623062277235,-148.1124312472948,2278159,1.77,56.82622146626909
2018-02-23,316.3656521106819,111.21,37.24676506936864,-151.92412882377175,2071180,1.77,67.81469607869336
2018-02-26,319.2038378306744,111.21,49.28168758538247,-129.84334625464362,778390,1.77,67.65701071742363
2018-02-27,316.1765182413165,111.21,45.76227963220357,-119.75336139630052,698699,1.77,67.05281398848473
2018-02-28,310.358136926621,111.21,44.55402253980237,-113.54744998140268,2526442,1.77,67.01724880097896
2018-03-01,309.8850751016986,111.21,45.42149995168304,-105.67851799700657,818541,1.77,66.1520524011999
2018-03-05,309.55405188824693,111.21,42.90420531605224,-104.2733740541371,5281481,1.77,65.17177985850847
2018-03-06,311.8245667969272,111.21,37.76608467756967,-115.5799415776255,678537,1.77,64.01174937015973
2018-03-07,309.1755235823261,111.21,40.45762613784191,-118.35592196266587,2118798,1.77,62.51601841291693
2018-03-08,311.1623019029351,111.21,42.60354476901111,-115.35680732387846,10405395,1.77,61.47381968142549
2018-03-09,307.5199230975202,111.21,40.45532149164247,-116.92595082825936,1796651,1.77,60.23842335554354
2018-03-12,309.5066932321027,111.21,46.75149483630525,-105.42712525245224,1508106,1.77,59.21775391779366
2018-03-13,306.8577187626948,111.21,44.89873378204764,-99.34623252636447,2618470,1.77,58.21499558804982
2018-03-14,305.58054715670073,111.21,48.55162603316125,-86.57971287243345,2212159,1.77,57.29266771854125
2018-03-15,306.99960122006473,111.21,48.2178772047997,-76.25685619488286,2053015,1.77,56.30736748265472
2018-03-16,303.1680824577808,111.21,42.43716435707456,-79.55620035839638,2715500,1.77,55.81912969180959
2018-03-19,300.8974276237636,111.21,46.589681700388624,-73.85413572102698,1008579,1.77,55.14887774993916
2018-03-20,297.6808109299208,111.21,47.79853213173608,-66.34509920204982,2312806,1.77,69.04601054348343
2018-03-21,300.5663496722871,111.21,50.79680758228602,-54.20589255453706,1446774,1.77,67.70340855520605
2018-03-22,298.2484814388236,111.21,44.07626915714213,-57.63513509859877,2546884,1.77,67.3698745220772
2018-03-23,295.12649232732986,111.21,41.13741587588925,-66.4629740493765,2284582,1.77,66.22926418654663
2018-03-26,297.8227962001199,111.21,47.77454475376439,-60.59055347321373,2439303,1.77,65.83802302171217
2018-03-27,299.99870929634363,111.21,51.04672701424702,-48.67628914675152,2876080,1.77,65.4062544056844
2018-03-28,305.29666030224257,111.21,51.37852211718764,-38.11723100183917,6429642,1.77,53.88823839563464
2018-04-02,308.6079317461875,121.89,56.66642731364583,-18.21223035694493,1249566,2.01,53.61303881995846
2018-04-03,315.6561325330794,121.89,57.28710238392129,-1.020285809156121,856565,2.01,53.552343513502265
2018-04-04,315.9872371940783,121.89,56.66690059253348,11.4750363600142,1407850,2.01,49.420886010638434
2018-04-05,317.3590817825224,121.89,60.86343108747851,30.20025497064671,560831,2.01,48.73569244132672
2018-04-06,318.25776467204884,121.89,63.2331294872971,50.12966791022336,1278796,2.01,44.61831563196441
