,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
418,2018-03-13,310.0743500290722,315.088507985035,306.8577187626948,307.61456298828125,2618470,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
419,2018-03-14,307.4726867675781,309.2702136235598,305.58054715670073,307.4726867675781,2212159,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
420,2018-03-15,307.56724878403674,309.9797148412245,306.99960122006473,307.5199279785156,2053015,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
421,2018-03-16,307.51998049060194,308.8445013232964,303.1680824577808,303.9249267578125,2715500,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
422,2018-03-19,304.2086712555939,308.22946709424497,300.8974276237636,302.4584655761719,1008579,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
423,2018-03-20,301.7962197001833,304.49252398909704,297.6808109299208,302.1273498535156,2312806,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
424,2018-03-21,302.7422983932867,308.79713858680134,300.5663496722871,305.0601806640625,1446774,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
425,2018-03-22,303.4991568750074,306.5265915501312,298.2484814388236,299.8568115234375,2546884,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
426,2018-03-23,295.9779493922174,303.54650796323523,295.12649232732986,301.0394287109375,2284582,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
427,2018-03-26,302.5531457514037,303.7830539577949,297.8227962001199,298.5323486328125,2439303,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
428,2018-03-27,299.99870929634363,309.8378284561732,299.99870929634363,307.33074951171875,2876080,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
429,2018-03-28,306.2427298676393,316.5548823561139,305.29666030224257,310.6892395019531,6429642,0.0,0,2018,1664.46,67.35,1731.81,1298.91,1444.61,9.55,111.21,27.97,395.38,83.24,312.14,1.77
430,2018-04-02,311.2569152206401,319.5823166018521,308.6079317461875,317.7847900390625,1249566,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
431,2018-04-03,315.93997075075885,320.85951560123726,315.6561325330794,319.4877319335937,856565,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
432,2018-04-04,319.7715154838278,323.08275898735855,315.9872371940783,317.4063415527344,1407850,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
433,2018-04-05,319.0619956367743,320.85952223220795,317.3590817825224,318.7308654785156,560831,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
434,2018-04-06,319.77148160191064,325.4478984350807,318.25776467204884,324.35992431640625,1278796,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
435,2018-04-09,326.3940704758049,327.2455274939988,322.2786612041496,323.7450866699219,1204038,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
436,2018-04-10,326.1575514733458,326.1575514733458,317.4064061473749,318.872802734375,768086,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
437,2018-04-11,318.8727975811216,326.77248576530553,318.1159533300801,325.826416015625,1244627,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
438,2018-04-12,326.34672051980766,328.2861516537874,324.0288384479025,326.3940124511719,763270,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
439,2018-04-13,326.5832472383378,328.1915482833978,321.14334687560483,322.08941650390625,701414,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
440,2018-04-16,322.3259614316429,325.8737228406862,321.3798917225648,324.9749450683594,669176,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
441,2018-04-17,326.3939821555398,328.90106059194966,323.1773515840092,325.2113952636719,806533,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
442,2018-04-18,328.8065390834184,338.078040210803,328.75924714332405,336.658935546875,2552706,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
443,2018-04-19,339.6389567459431,342.4771652981376,336.8953609198385,339.0240173339844,2551633,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
444,2018-04-20,337.27381228273464,340.11202108174786,334.0098606151683,335.9966125488281,550428,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
445,2018-04-23,335.66550180499985,343.75441467251187,334.67214021666285,338.31451416015625,993987,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
446,2018-04-24,340.253943733892,343.23405735604035,336.4696651351628,337.6522521972656,740202,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
447,2018-04-25,338.69291569572044,341.24731515609324,336.8953892359317,339.5443725585937,613774,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
448,2018-04-26,341.53109601004246,344.36930456414257,335.8546789018423,337.8414306640625,1573999,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
449,2018-04-27,340.5850946973451,349.00510931967824,339.16599013610613,346.687255859375,1367950,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
450,2018-04-30,349.0050840769516,351.8906137991541,347.2075575370777,349.4781188964844,917470,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
451,2018-05-02,358.2766225740033,362.34471091283353,347.72792186125,351.74871826171875,4642509,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
452,2018-05-03,350.5187583280855,354.1138109673656,348.6739112092374,349.9511108398437,875515,0.0,0,2018,1509.62,70.84,1580.46,1099.07,1357.31,5.92,121.89,26.33,449.14,95.56,353.58,2.01
