Date,Close,Volume,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2017-04-26,276.2386474609375,712393,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,65.28002447523704,0.8252645384646671,5923.425753085953,69.54425739213457,-5853.881495693819,5853.199093279107,48.79567322009674,5889.653738839285,6065.173458956239,5714.134018722331,277.97653266665657,271.7293395996094,277.13107756117654
2017-04-27,271.7293395996094,873930,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,62.68765484250858,0.7261761784009381,5943.204567312512,74.04883231096755,-5869.155735001545,5868.573705182711,46.81385310168609,5895.214634486607,6082.737880218353,5707.691388754861,277.13107756117654,269.380859375,273.1854677206164
2017-04-28,269.380859375,1646088,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,68.90572479813612,0.9638499834347491,5987.52332181876,88.10000385209332,-5899.423317966667,5895.503217424624,36.6078457851402,5913.132428850447,6149.850938458023,5676.41391924287,273.1854677206164,267.6428527832031,271.02482796237155
2017-05-02,267.6428527832031,1042683,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,74.40785239036856,1.1741582639718455,6057.114555892509,111.72035833649808,-5945.394197556011,5935.501060584886,29.000119787654423,5942.600620814732,6269.939439461799,5615.261802167664,271.02482796237155,259.047119140625,269.4747378154812
2017-05-03,259.047119140625,1758933,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,69.87483739520269,1.00089245482775,6101.166449401508,124.31797350705529,-5976.848475894452,5966.580420844213,29.870409059625672,5969.33904157366,6340.921296882078,5597.756786265242,269.4747378154812,259.3759765625,260.69107750480947
2017-05-04,259.3759765625,2284242,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,69.5630762338175,0.988975982028804,6135.614116552456,132.45453648711282,-6003.159580065343,5994.4735448725805,30.52627156438696,6002.090436662947,6395.232145334864,5608.948727991029,260.69107750480947,256.0879211425781,260.2213650581799
2017-05-05,256.0879211425781,4118180,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,70.05455915563584,1.0077619746231752,6165.883871366965,138.40144140646407,-6027.482429960501,6021.063485395527,31.03893683480956,6040.976457868303,6431.221797100235,5650.731118636372,260.2213650581799,257.1213073730469,258.7183168542587
2017-05-08,257.1213073730469,3834244,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,68.10679092671214,0.9333122676247366,6185.640202562322,139.7047659515365,-6045.9354366107855,6043.209125572638,36.71573285119044,6075.732282366072,6451.522704746536,5699.941859985607,258.7183168542587,256.886474609375,258.34251446083385
2017-05-09,256.886474609375,636912,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,67.998891461239,0.9291880173826006,6201.208939393608,139.0395501355506,-6062.169389258057,6063.234103858648,36.85440768389601,6108.94597516741,6460.603342645173,5757.288607689648,258.34251446083385,265.951904296875,266.609455686424
2017-05-10,265.951904296875,2318587,1434.8,60.04,1494.84,1076.34,1278.94,4.95,111.32,21.32,392.23,90.0,302.23,1.72,72.12320833965877,1.0868321244213208,6234.157190577387,145.10782389819087,-6089.049366679196,6090.753748536271,39.47332361457082,6145.442905970982,6489.5427187805735,5801.34309316139,266.609455686424,261.39569091796875,259.79862243616543
