,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Debt-Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Inventory_Turnover_Ratio,Debtors_Turnover_Ratio,Interest_Coverage_Ratio,Operating_Margin,Net_Profit_Margin,Return_On_Capital_Employed,Return_On_Net_Worth,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
404,2020-12-23,2839.944446976624,2882.3552093964868,2829.477421728387,2872.23388671875,2790988,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
405,2020-12-24,2872.4807134493126,2884.675769250892,2847.004555778347,2872.826416015625,1807144,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
406,2020-12-28,2873.4681537904303,2912.6697157833573,2865.568584982759,2892.62451171875,2108994,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
407,2020-12-29,2883.3429962090518,2914.9412756195616,2883.3429962090518,2893.711181640625,1994151,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
408,2020-12-30,2897.5620992928925,2910.69518226919,2865.5689381095594,2872.77734375,2637968,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
409,2020-12-31,2863.5936459561394,2868.530876380202,2809.284111291454,2826.811279296875,4040956,0.0,0.0,0.03,2.47,5.18,17507.47,4.98,57.52,34.6,25.33,53.51,43.73,34957,2096,37053,24279,30553,159,3373,771,11844,2602,9242,24.63
410,2021-03-01,2894.765697047712,2933.349382004944,2870.8240741760187,2892.98486328125,3265871,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
411,2021-03-02,2928.402494394596,2992.7086302512344,2916.530592390294,2974.2578125,3306469,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
412,2021-03-03,3002.6022324369355,3031.292665629908,2964.908842559268,3026.445068359375,3509857,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
413,2021-03-04,2990.729842947697,3048.5558480051104,2983.854081658661,3017.144775390625,3916760,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
414,2021-03-05,2983.9038133819367,3030.5008850852983,2964.611972104466,2975.939697265625,3203686,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
415,2021-03-08,2983.805004470844,3000.623534005328,2964.0184991361566,2974.8515625,2003125,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
416,2021-03-09,2974.85128413383,3034.161280017836,2960.159950218233,3018.381591796875,1942397,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
417,2021-03-10,3042.175028307974,3060.1806988678127,3027.335150121106,3038.168212890625,3053778,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
418,2021-03-12,3042.174927385338,3083.726584930113,3008.8842317043227,3025.306884765625,2938317,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
419,2021-03-15,3008.538000867907,3065.918863758515,3008.538000867907,3033.41943359375,3097083,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
420,2021-03-16,3027.335296631973,3107.47064271929,3027.335296631973,3076.85107421875,4894756,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
421,2021-03-17,3071.854883318433,3121.32114552968,3052.3652243140987,3079.719970703125,3838390,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
422,2021-03-18,3092.5810273816046,3112.862193763541,2955.1638551929063,3004.0859375,3656306,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
423,2021-03-19,2997.6553278917827,3065.9187660516945,2972.9221981236983,3017.6396484375,5776626,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
424,2021-03-22,3016.155630009574,3105.93689015561,2986.426360023469,3096.241455078125,2821646,0.0,0.0,0.07,2.11,4.56,22660.5,5.05,77.17,32.72,22.77,52.03,42.02,36017,864,36881,25065,29235,111,3531,788,10917,2743,8174,22.08
