,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs)
1285,2020-12-17,2775.710851544313,2817.8747497400386,2769.786175233653,2802.5693359375,2863460,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1286,2020-12-18,2831.995374554898,2861.618757133924,2810.469001665665,2825.083251953125,6076692,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1287,2020-12-21,2825.083364397566,2850.263240591952,2750.037458877044,2784.74609375,2705195,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1288,2020-12-22,2798.422530291286,2847.4491376820806,2783.2651346937487,2836.439208984375,2881737,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1289,2020-12-23,2839.944446976624,2882.3552093964868,2829.477421728387,2872.23388671875,2790988,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1290,2020-12-24,2872.480957560559,2884.676014398507,2847.0047977245595,2872.82666015625,1807144,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1291,2020-12-28,2873.4683963142384,2912.66996161582,2865.568826839835,2892.624755859375,2108994,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1292,2020-12-29,2883.342509677316,2914.940783755972,2883.342509677316,2893.710693359375,1994151,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1293,2020-12-30,2897.561853045956,2910.694934906149,2865.568694581535,2872.777099609375,2637968,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1294,2020-12-31,2863.593893273513,2868.5311241239847,2809.284353918326,2826.8115234375,4040956,0.0,0.0,2020,33365.0,1734.0,35099.0,24497.0,27813.0,149.0,3005.0,755.0,9698.0,2250.0,7448.0,19.85
1295,2021-01-01,2843.8449799368223,2903.0917503521728,2842.8575337632333,2891.4892578125,2681440,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1296,2021-01-04,2912.9662012081203,3012.451402825652,2904.0297651553706,3001.293212890625,5113293,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1297,2021-01-05,3001.4411312834254,3075.1538830080967,3001.4411312834254,3054.170654296875,5801309,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1298,2021-01-06,3061.083032294568,3074.413555177141,2999.071366521973,3013.19189453125,3726716,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1299,2021-01-07,3036.396491919524,3042.173147529548,2962.584902400504,2994.726318359375,3717827,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1300,2021-01-08,3051.208228984184,3088.731178078488,3021.58484812026,3081.72021484375,5879039,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1301,2021-01-11,3189.45078292632,3189.45078292632,3107.0484571986726,3136.572998046875,9508039,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1302,2021-01-12,3136.573177348534,3169.7020428652745,3110.4552757089145,3134.993408203125,3611458,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1303,2021-01-13,3135.141527679872,3137.1164199807727,3087.003527845417,3119.29296875,3572801,0.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
1304,2021-01-14,3121.321134488238,3231.630898829106,3087.0903845453504,3215.99951171875,6931542,6.0,0.0,2021,40845.0,2225.0,43070.0,29140.0,34465.0,126.0,3845.0,925.0,12879.0,2920.0,9959.0,26.93
