Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,Unnamed: 0,Open_fib,High_fib,Low_fib,Close_fib,Volume_fib,Dividends_fib,Stock Splits_fib,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2019-04-24,1232.9166516879525,1258.5093451365124,1212.1845029916565,1218.929931640625,569926,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,50.59968304011058,0.9477270879718938,1235.856932437834,16.23281427745269,-1219.6241181603814,1222.081818294304,69.74423865097818,1242.124258858817,1272.4745354686756,1211.7739822489584,1262,1232.9166516879525,1258.5093451365124,1212.1845029916565,1218.929931640625,569926,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1212.1845029916565,181.2820769396076,1258.5093451365124,1236.23974609375,1249.6809568643332
2019-04-25,1222.1042063691073,1249.6809568643332,1220.1699177900791,1236.23974609375,360981,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,54.35887108955422,1.2243200735027402,1235.9334951690173,15.254260959271733,-1220.6792342097456,1223.3689026397085,69.15614109615886,1241.167715890067,1271.3424080848563,1210.9930236952778,1263,1222.1042063691073,1249.6809568643332,1220.1699177900791,1236.23974609375,360981,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1220.1699177900791,181.2820769396076,1249.6809568643332,1229.246337890625,1244.8201799758226
2019-04-26,1233.0158636248384,1244.820303592708,1216.4500513024875,1229.246337890625,242464,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,52.61678437647736,1.096141073493719,1234.596063713339,13.755871682849149,-1220.8401920304898,1223.9032149352463,68.9234700395587,1239.9596470424108,1270.623760161944,1209.2955339228774,1264,1233.0157411801931,1244.8201799758226,1216.4499305029103,1229.2462158203125,242464,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1216.4499305029103,181.2820769396076,1244.8201799758226,1206.728759765625,1237.9756184494452
2019-04-30,1229.8416566212286,1237.9757436806412,1195.4203032736566,1206.728759765625,336375,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,47.3544589528388,0.7089504672737186,1229.0226029237965,10.628883861630811,-1218.3937190621657,1222.341900828917,62.2722110049109,1237.9402814592634,1273.3653412338526,1202.515221684674,1265,1229.8415322128608,1237.9756184494452,1195.4201823472854,1206.7286376953125,336375,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1195.4201823472854,181.2820769396076,1237.9756184494452,1184.9552001953125,1215.0612739489482
2019-05-02,1207.224829175146,1215.0613991207056,1144.5325117903108,1184.9552001953125,1083586,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,42.88782968815119,0.3803054760335921,1220.2091223780997,6.320915615903459,-1213.8882067621962,1218.9431098622258,45.2206328632028,1234.9254237583705,1280.134547010839,1189.716300505902,1266,1207.2247048106872,1215.0612739489482,1144.532393884215,1184.955078125,1083586,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1144.532393884215,181.2820769396076,1215.0612739489482,1189.6669921875,1202.810565108961
2019-05-03,1184.955145291127,1202.810565108961,1173.795507904981,1189.6669921875,347353,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,44.11624706508487,0.4706897891605565,1214.1006963399798,3.249563039671557,-1210.8511333003082,1216.2816446190689,45.177571287434255,1230.6564243861608,1280.9640199119974,1180.348828860324,1267,1184.955145291127,1202.810565108961,1173.795507904981,1189.6669921875,347353,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1173.795507904981,181.2820769396076,1202.810565108961,1180.7391357421875,1196.1641599610389
2019-05-06,1160.9493085795614,1196.1641599610389,1160.9493085795614,1180.7391357421875,225661,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,42.26140477877588,0.3342144761644449,1207.428384220421,0.0940069396967828,-1207.3343772807243,1213.050507448443,45.145534763016336,1226.692095075335,1283.4393500345268,1169.944840116143,1268,1160.9493085795614,1196.1641599610389,1160.9493085795614,1180.7391357421875,225661,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1160.9493085795614,181.2820769396076,1196.1641599610389,1155.5927734375,1189.468370420356
2019-05-07,1185.8974364133048,1189.4684960691088,1143.0940040972794,1155.5927734375,320142,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,37.48131649077754,-0.0174941570001473,1197.0612620638371,-4.38534377193605,-1201.4466058357732,1207.827077083812,44.97163528805585,1221.3460867745537,1289.524107949888,1153.1680655992193,1269,1185.8973111417786,1189.468370420356,1143.093883347267,1155.5926513671875,320142,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1143.093883347267,181.2820769396076,1189.468370420356,1160.9000244140625,1174.0930007203451
2019-05-08,1146.7148357094086,1174.093124177931,1142.7469643055697,1160.9000244140625,246581,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,39.04827371103947,0.0977991909385136,1189.8290145338822,-7.421460704322499,-1197.250475238205,1203.560981386562,45.07122342570517,1214.685756138393,1287.145248877163,1142.2262633996224,1270,1146.7147151306892,1174.0930007203451,1142.7468441440778,1160.89990234375,246581,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1142.7468441440778,181.2820769396076,1174.0930007203451,1160.205322265625,1189.3691949673548
2019-05-09,1155.642295360274,1189.3691949673548,1147.8057268218452,1160.205322265625,310077,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,38.910796366551,0.0876839031011447,1183.9042760802308,-9.771027581089356,-1193.6753036613202,1199.619557830113,45.412711308765445,1207.4727260044642,1280.0961431235985,1134.8493088853302,1271,1155.642295360274,1189.3691949673548,1147.8057268218452,1160.205322265625,310077,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1147.8057268218452,181.2820769396076,1189.3691949673548,1177.019287109375,1186.8893169885696
2019-05-10,1166.7027991248608,1186.8893169885696,1158.2710739310432,1177.019287109375,173882,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,44.04555533455476,0.4654884434065025,1182.5272782860598,-10.159220644227617,-1192.6864989302874,1197.5649877645913,49.965726837955465,1201.19144984654,1267.3186300025232,1135.064269690557,1272,1166.7027991248608,1186.8893169885696,1158.2710739310432,1177.019287109375,173882,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1158.2710739310432,181.2820769396076,1186.8893169885696,1162.8837890625,1183.367825299874
2019-05-13,1177.416019069592,1183.367825299874,1151.8728506646323,1162.8837890625,200737,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,40.930749636967086,0.2363077278070866,1178.5985804413478,-11.475203992087016,-1190.0737844334349,1194.4121515189463,53.753648906919615,1194.1555698939733,1253.2842231528043,1135.026916635142,1273,1177.416019069592,1183.367825299874,1151.8728506646323,1162.8837890625,200737,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1151.8728506646323,181.2820769396076,1183.367825299874,1133.3232421875,1166.4548661836518
2019-05-14,1166.454991822587,1166.454991822587,1120.923644351751,1133.3232421875,625364,0.0,0,2019,2167.11,2.15,2169.26,1901.3,1741.48,70.93,120.35,77.04,119.99,43.31,76.68,5.51,35.30756135105845,-0.177434393029816,1169.5435127905785,-14.733579824545814,-1184.2770926151245,1188.8586143069967,47.57592267879325,1187.810520717076,1252.7736371619176,1122.847404272234,1274,1166.4548661836518,1166.4548661836518,1120.923523616999,1133.3231201171875,625364,0.0,0,1258.807091065708,1103.2169125811677,-1,1284.4989895207752,1103.2169125811677,1284.4989895207752,1215.249236129845,1193.8579510509717,1172.466665972098,1142.0112770462438,1103.2169125811677,1054.2707518074735,991.1845890324902,809.9025120928825,1120.923523616999,181.2820769396076,1166.4548661836518,1147.160888671875,1151.674389711745
