Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,PrevYear,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2020-11-12,2153.686219279689,2203.8555664014434,2092.7234075042547,2109.163330078125,2435538,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,51.9054789198977,1.0438047452036603,2107.833265838558,17.958486585532683,-2089.8747792530253,2101.295341953709,58.64587264175554,2096.7137538364955,2173.6230509404936,2019.8044567324976
2020-11-13,2119.756948179084,2312.5892671870074,2110.212721549424,2264.418701171875,4605948,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,62.15216204011475,1.797733689095897,2139.1503529052216,29.105200403208528,-2110.045152502013,2116.1247382462693,44.72980884134205,2111.954459054129,2225.64991802771,1998.259000080549
2020-11-14,2273.613060735894,2322.0834930197143,2268.6661272702327,2283.257080078125,325596,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,63.17730595567943,1.8731615773726704,2167.971698339802,39.009474214100464,-2128.9622241257016,2131.3185875037107,44.19169030486236,2123.8043823242188,2269.8930119325773,1977.71575271586
2020-11-17,2282.607497736196,2340.172477937813,2264.6684902366683,2305.943359375,1832334,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,64.42690266658711,1.9651042204204516,2195.566030546842,48.13441216695355,-2147.4316183798883,2147.1935667647367,42.81530787714223,2140.083748953683,2312.6038952517465,1967.5636026556192
2020-11-18,2289.752900702407,2327.180261199836,2280.908443280627,2287.304443359375,1036844,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,62.54881667959757,1.826918685833544,2213.9137131093485,53.24817467387402,-2160.6655384354744,2159.930919182432,43.52007632713536,2154.564182826451,2340.523588667024,1968.6047769858783
2020-11-19,2287.304649760374,2413.5277000128176,2275.6118314406563,2297.6484375,2584654,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,63.190122075628864,1.874104559961759,2230.6606579874788,57.47302888084005,-2173.1876291066387,2172.4506935749373,37.35279604778432,2167.3849487304688,2366.7951494604213,1967.974748000516
2020-11-20,2333.5762849022053,2397.1873781123622,2323.282516303213,2348.16748046875,2144949,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,66.23145029032122,2.097878960129225,2254.1620224837334,64.15814567433745,-2190.003876809396,2188.42494692892,38.22344539792368,2187.3941737583705,2399.6652612792927,1975.123086237448
2020-11-23,2372.552580962058,2401.3850888202483,2327.0803221441247,2373.90185546875,1693126,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,67.69565902499212,2.205612295103757,2278.109989080737,70.71751044788243,-2207.3924786328544,2205.2864840689044,38.97790406112528,2206.239824567522,2435.133177638093,1977.3464714969516
2020-11-24,2381.1972513349847,2421.922406926014,2295.449756964963,2311.939697265625,2018323,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,60.85377507275421,1.7022011637332075,2284.8759307177143,70.10786612094762,-2214.768064596766,2214.982230723152,39.25076938644287,2221.212829589844,2448.23943638666,1994.186222793028
2020-11-25,2334.075986604778,2353.5640969617866,2234.986538463157,2240.13330078125,1501778,0.0,0,2020,2414.45,4.79,2419.24,2167.32,2014.84,97.15,122.25,116.33,38.44,5.92,32.52,2.34,54.03771876131145,1.20069037471925,2275.9274047304216,63.10312892449929,-2212.8242758059223,2217.268691637524,40.42601186319112,2229.700500488281,2449.4041709290022,2009.9968300475605
